pattern,pattern_label,n,structure,trials,insert_mean_s,insert_std_s,search_hit_mean_s,search_hit_std_s,search_miss_mean_s,search_miss_std_s,height_mean,load_factor_mean,avg_non_empty_chain_len_mean,collisions_mean
Random,Random,100,BST,2,4.914999954053201e-05,8.049999451031908e-06,1.9949999114032835e-05,1.8499995348975062e-06,1.5800000255694613e-05,2.6000016077887267e-06,11.5,,,
Random,Random,100,Red-Black Tree,2,0.000225800002226606,0.00010689999908208847,2.3649998183827847e-05,1.0500007192604244e-06,2.2599997464567423e-05,1.2000018614344299e-06,8.5,,,
Random,Random,100,Hash Table,2,1.790000169421546e-05,3.899996954714879e-06,4.7550001909257844e-05,3.975000072387047e-05,6.099999154685065e-06,6.000009307172149e-07,,0.7692,1.3794,27.5
Sorted,Sorted,100,BST,2,0.00020485000277403742,4.749999789055437e-06,8.674999844515696e-05,4.350004019215703e-06,5.049998435424641e-06,2.499982656445354e-07,100,,,
Sorted,Sorted,100,Red-Black Tree,2,0.0001262500009033829,4.6499990276061e-06,2.1800002286909148e-05,1.000043994281441e-07,2.094999945256859e-05,3.4999538911506534e-07,11,,,
Sorted,Sorted,100,Hash Table,2,1.3950000720797107e-05,1.6500016499776393e-06,5.149999196873978e-06,7.500020728912205e-07,5.050002073403448e-06,5.500041879713535e-07,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,BST,2,0.00014229999942472205,1.8999999156221747e-06,8.719999823370017e-05,5.300000339047983e-06,0.0001860999982454814,6.999980541877449e-07,100,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Red-Black Tree,2,0.00011999999696854502,3.6999990697950125e-06,2.1949999791104347e-05,9.499999578110874e-07,3.5549997846828774e-05,3.4999902709387243e-07,11,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Hash Table,2,4.685000021709129e-05,1.5499972505494952e-06,2.2199998056748882e-05,2.999986463692039e-07,4.999998054699972e-06,6.000009307172149e-07,,0.7692,100.0,99
Random,Random,300,BST,2,0.00015259999781847,1.2600001355167478e-05,2.6999998226528987e-05,2.8999966161791235e-06,2.260000110254623e-05,3.2999996619764715e-06,18,,,
Random,Random,300,Red-Black Tree,2,0.0003157499995722901,6.049998773960397e-06,2.8200000087963417e-05,5.000001692678779e-07,2.644999767653644e-05,1.6499980119988322e-06,10,,,
Random,Random,300,Hash Table,2,5.115000021760352e-05,7.750004442641512e-06,7.300001016119495e-06,6.000009307172149e-07,6.550002581207082e-06,2.499982656445354e-07,,0.7692,1.3516,78
Sorted,Sorted,300,BST,2,0.0019038499995076563,0.00013014999785809778,0.0002817999993567355,2.1100000594742596e-05,5.550002242671326e-06,9.500035957898945e-07,300,,,
Sorted,Sorted,300,Red-Black Tree,2,0.0004477499969652854,1.5499972505494952e-06,2.8649999876506627e-05,1.0500007192604244e-06,2.4400000256719068e-05,1.9999788491986692e-07,14,,,
Sorted,Sorted,300,Hash Table,2,5.2999999752501026e-05,1.3799999578623101e-05,6.850001227576286e-06,1.0500007192604244e-06,5.649999366141856e-06,7.499984349124134e-07,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",300,BST,2,0.0012643999980355147,1.4200002624420449e-05,0.0003118499989795964,1.4549998013535514e-05,0.0005815000040456653,4.800000169780105e-06,300,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",300,Red-Black Tree,2,0.00040345000161323696,9.95000300463289e-06,2.8649999876506627e-05,2.1500018192455173e-06,4.4299998990027234e-05,2.999986463692039e-07,14,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",300,Hash Table,2,0.000330850001773797,1.0849995305761695e-05,5.5100001191021875e-05,3.899996954714879e-06,5.799996870337054e-06,6.000009307172149e-07,,0.7692,300.0,299
