pattern,pattern_label,n,structure,trial,insert_time_s,search_hit_time_s,search_miss_time_s,height,load_factor,avg_non_empty_chain_len,collisions
Random,Random,100,BST,1,0.00029859999631298706,4.079999780515209e-05,3.070000093430281e-05,12,,,
Random,Random,100,BST,2,4.5599997974932194e-05,3.840000135824084e-05,0.00015189999976428226,12,,,
Random,Random,100,Red-Black Tree,1,9.069999941857532e-05,3.479999577393755e-05,3.260000084992498e-05,8,,,
Random,Random,100,Red-Black Tree,2,8.160000288626179e-05,3.3399999665562063e-05,3.229999856557697e-05,8,,,
Random,Random,100,Hash Table,1,1.6599995433352888e-05,1.0299998393747956e-05,8.499999239575118e-06,,0.7692,1.4286,30
Random,Random,100,Hash Table,2,1.1099997209385037e-05,7.800001185387373e-06,7.700000423938036e-06,,0.7692,1.4085,29
Sorted,Sorted,100,BST,1,0.00015390000044135377,0.00013529999705497175,7.299997378140688e-06,100,,,
Sorted,Sorted,100,BST,2,0.00014899999951012433,0.00013469999976223335,5.999994755256921e-06,100,,,
Sorted,Sorted,100,Red-Black Tree,1,0.00010379999730503187,3.2000003557186574e-05,3.1299998227041215e-05,11,,,
Sorted,Sorted,100,Red-Black Tree,2,9.660000068834051e-05,3.060000017285347e-05,3.070000093430281e-05,11,,,
Sorted,Sorted,100,Hash Table,1,1.170000177808106e-05,7.399998139590025e-06,7.800001185387373e-06,,0.7692,1.0,0
Sorted,Sorted,100,Hash Table,2,9.900002623908222e-06,6.499998562503606e-06,6.70000008540228e-06,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,BST,1,0.00011729999823728576,0.00014089999604038894,0.0002886000002035871,100,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,BST,2,0.00010689999908208847,0.00014099999680183828,0.0002821000016410835,100,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Red-Black Tree,1,9.210000280290842e-05,3.1299998227041215e-05,5.2600000344682485e-05,11,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Red-Black Tree,2,0.00011040000390494242,3.070000093430281e-05,5.2600000344682485e-05,11,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Hash Table,1,6.560000474564731e-05,6.429999484680593e-05,8.39999847812578e-06,,0.7692,100.0,99
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Hash Table,2,3.51999988197349e-05,3.070000093430281e-05,6.000002031214535e-06,,0.7692,100.0,99
Random,Random,1000,BST,1,0.000494699997943826,4.859999899053946e-05,3.01000036415644e-05,23,,,
Random,Random,1000,BST,2,0.0004710000066552311,0.00013250000483822078,3.300000389572233e-05,20,,,
Random,Random,1000,Red-Black Tree,1,0.0009372999993502162,5.4600001021753997e-05,4.829999670619145e-05,12,,,
Random,Random,1000,Red-Black Tree,2,0.0011695000066538341,5.020000389777124e-05,4.6399996790569276e-05,12,,,
Random,Random,1000,Hash Table,1,0.00011180000001331791,9.800001862458885e-06,9.2999980552122e-06,,0.7692,1.4124,292
Random,Random,1000,Hash Table,2,0.0001112000027205795,8.799994247965515e-06,8.000002708286047e-06,,0.7692,1.3736,272
Sorted,Sorted,1000,BST,1,0.015079700002388563,0.001430700001947116,8.39999847812578e-06,1000,,,
Sorted,Sorted,1000,BST,2,0.014861099996778648,0.0013197000007494353,8.499999239575118e-06,1000,,,
Sorted,Sorted,1000,Red-Black Tree,1,0.0012285000047995709,4.78999936603941e-05,4.200000694254413e-05,17,,,
Sorted,Sorted,1000,Red-Black Tree,2,0.001367299999401439,4.429999535204843e-05,3.9200000173877925e-05,17,,,
Sorted,Sorted,1000,Hash Table,1,0.00011059999815188348,8.600000001024455e-06,7.299997378140688e-06,,0.7692,1.0,0
Sorted,Sorted,1000,Hash Table,2,9.229999704984948e-05,7.300004654098302e-06,6.199996278155595e-06,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,BST,1,0.01060900000447873,0.0013213999991421588,0.002657800003362354,1000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,BST,2,0.010565000004135072,0.001523599996289704,0.002786299999570474,1000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Red-Black Tree,1,0.0011525000008987263,5.450000026030466e-05,7.470000127796084e-05,17,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Red-Black Tree,2,0.0012761999969370663,4.7900000936351717e-05,7.390000246232376e-05,17,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Hash Table,1,0.0024795999997877516,0.00019530000281520188,7.800001185387373e-06,,0.7692,1000.0,999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Hash Table,2,0.0023288000011234544,0.00021769999875687063,6.399997801054269e-06,,0.7692,1000.0,999
